|                                         dimensionalCodeFragment                                         |    pattern    |
+---------------------------------------------------------------------------------------------------------+---------------+
| org.apache.cassandra.batchlog.Batch$Serializer.readEncodedMutations                                     | compute-cross |
| org.apache.cassandra.batchlog.BatchlogManager.store                                                     | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Deserializer.compareNextTo                                     | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Deserializer.prepare                                           | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Deserializer.skipNext                                          | compute-cross |
| org.apache.cassandra.db.ColumnIndex.add                                                                 | compute-cross |
| org.apache.cassandra.db.ColumnIndex.buildRowIndex                                                       | compute-cross |
| org.apache.cassandra.db.Keyspace.snapshot                                                               | compute-cross |
| org.apache.cassandra.db.Mutation$MutationSerializer.deserialize                                         | compute-cross |
| org.apache.cassandra.db.Mutation$MutationSerializer.serialize                                           | compute-cross |
| org.apache.cassandra.db.commitlog.AbstractCommitLogService$SyncRunnable.run                             | compute-cross |
| org.apache.cassandra.db.partitions.PartitionUpdate$PartitionUpdateSerializer.deserialize                | compute-cross |
| org.apache.cassandra.db.rows.Cell$Serializer.deserialize                                                | compute-cross |
| org.apache.cassandra.db.rows.Cell$Serializer.serialize                                                  | compute-cross |
| org.apache.cassandra.db.rows.UnfilteredSerializer.readComplexColumn                                     | compute-cross |
| org.apache.cassandra.db.rows.UnfilteredSerializer.serialize                                             | compute-cross |
| org.apache.cassandra.db.rows.UnfilteredSerializer.writeComplexColumn                                    | compute-cross |
| org.apache.cassandra.gms.EndpointStateSerializer.serialize                                              | compute-cross |
| org.apache.cassandra.gms.GossipDigestAck2Serializer.deserialize                                         | compute-cross |
| org.apache.cassandra.gms.GossipDigestAck2Serializer.serialize                                           | compute-cross |
| org.apache.cassandra.gms.GossipDigestAckSerializer.deserialize                                          | compute-cross |
| org.apache.cassandra.gms.GossipDigestAckSerializer.serialize                                            | compute-cross |
| org.apache.cassandra.gms.GossipDigestSerializationHelper.deserialize                                    | compute-cross |
| org.apache.cassandra.gms.GossipDigestSerializationHelper.serialize                                      | compute-cross |
| org.apache.cassandra.gms.TokenSerializer.deserialize                                                    | compute-cross |
| org.apache.cassandra.io.sstable.format.SSTableReader.getApproximateKeyCount                             | compute-cross |
| org.apache.cassandra.io.sstable.format.big.BigTableReader.getPosition                                   | compute-cross |
| org.apache.cassandra.io.sstable.metadata.CompactionMetadata$CompactionMetadataSerializer.deserialize    | compute-cross |
| org.apache.cassandra.io.sstable.metadata.CompactionMetadata$CompactionMetadataSerializer.serialize      | compute-cross |
| org.apache.cassandra.io.sstable.metadata.CompactionMetadata$CompactionMetadataSerializer.serializedSize | compute-cross |
| org.apache.cassandra.io.util.RebufferingInputStream.read                                                | compute-cross |
| org.apache.cassandra.io.util.UnbufferedDataOutputStreamPlus.writeUTF                                    | compute-cross |
| org.apache.cassandra.net.Message$Serializer.extractParams                                               | compute-cross |
| org.apache.cassandra.net.OutboundConnection$EventLoopDelivery.doRun                                     | compute-cross |
| org.apache.cassandra.repair.RepairRunnable.runMayThrow                                                  | compute-cross |
| org.apache.cassandra.repair.ValidationManager.doValidation                                              | compute-cross |
| org.apache.cassandra.utils.MerkleTree$OffHeapInner.deserializeWithoutIdent                              | compute-cross |
| org.apache.cassandra.utils.MerkleTree$OnHeapInner.serializeOffHeap                                      | compute-cross |
| org.apache.cassandra.utils.MerkleTrees.tryMoveOffHeap                                                   | compute-cross |
